NEW YORK, NY 10014","PETER FINE (HEAD OFFICER), CHRISTINA PIMENTEL, BATHGATE AVENUE ASSOCIATES LP, WAVECREST MANAGEMENT GROUP",,"BATHGATE GROUND, LLC",1/23/20,"$4,463,827.00","$1,058,405.00","$588,764.00","$469,641.00",
6.31%,1016330033,"$4,500,000.00",,,,,,,,,"$378,264.00","$94,096.00","$284,168.00",
6.21%,3009510046,"$3,000,000.00",,,,,,,,,"$238,902.00","$52,680.00","$186,222.00",
5.96%,4012910056,"$6,274,000.00",,,,,,,,,"$528,842.00","$155,084.00","$373,758.00",
5.90%,2030020047,"$3,700,000.00",,,,,,,,,"$439,600.00","$221,416.00","$218,184.00",
5.88%,3068780048,"$20,750,000.00",,,,,,,,,"$2,313,229.00","$1,093,260.00","$1,219,969.00",
5.88%,2037380001,"$7,100,000.00",,,,,,,,,"$810,290.00","$392,924.00","$417,366.00",
5.85%,3069960071,"$1,600,000.00",,,,,,,,,"$153,053.00","$59,437.00","$93,616.00",
5.74%,1014400020,"$4,595,500.00",,,,,,,,,"$365,130.00","$101,529.00","$263,601.00",
5.73%,1014500012,"$5,250,000.00",,,,,,,,,"$442,111.00","$141,517.00","$300,594.00",
5.68%,4021390001,"$26,500,000.00",,,,,,,,,"$2,586,048.00","$1,081,147.00","$1,504,901.00",
5.61%,3012060028,"$5,585,336.00",,,,,,,,,"$636,192.00","$323,002.00","$313,190.00",
5.54%,2032840057,"$4,125,000.00",,,,,,,,,"$481,436.00","$252,763.00","$228,673.00",
5.54%,3050560081,"$4,150,000.00",,,,,,,,,"$311,986.00","$81,990.00","$229,996.00",
5.52%,1015480148,"$3,500,000.00",,,,,,,,,"$276,535.00","$83,330.00","$193,205.00",
5.49%,1011220019,"$6,060,000.00",,,,,,,,,"$388,110.00","$55,712.00","$332,398.00",
5.27%,2028080062,"$12,480,000.00",,,,,,,,,"$1,112,043.00","$454,549.00","$657,494.00",
5.20%,3010410064,"$3,040,000.00",,,,,,,,,"$233,450.00","$75,240.00","$158,210.00",
5.20%,1022420037,"$15,150,000.00",,,,,,,,,"$1,029,629.00","$241,479.00","$788,150.00",
5.17%,3010050038,"$2,536,000.00",,,,,,,,,"$185,379.00","$54,314.00","$131,065.00",
5.11%,1014400019,"$5,504,500.00",,,,,,,,,"$366,974.00","$85,625.00","$281,349.00",
5.10%,3012190056,"$4,330,000.00",,,,,,,,,"$393,020.00","$172,158.00","$220,862.00",
5.07%,3030490043,"$15,000,000.00",,,,,,,,,"$1,147,073.00","$387,173.00","$759,900.00",
5.04%,1019880123,"$8,425,000.00",,,,,,,,,"$826,688.00","$402,312.00","$424,376.00",
5.03%,4097730005,"$22,250,000.00",,,,,,,,,"$2,199,917.00","$1,081,445.00","$1,118,472.00",
5.02%,1004010013,"$3,950,000.00",,,,,,,,,"$281,610.00","$83,456.00","$198,154.00",
4.98%,3013140050,"$6,100,000.00",,,,,,,,,"$521,952.00","$218,069.00","$303,883.00",
4.91%,1021590005,"$5,388,000.00",,,,,,,,,"$522,191.00","$257,448.00","$264,743.00",
4.91%,3007480057,"$3,500,000.00",,,,,,,,,"$257,008.00","$85,080.00","$171,928.00",
4.91%,2027900018,"$3,850,000.00",,,,,,,,,"$369,148.00","$180,034.00","$189,114.00",
4.90%,1011850031,"$4,450,000.00",,,,,,,,,"$293,478.00","$75,236.00","$218,242.00",
4.89%,3051850069,"$7,000,000.00",,,,,,,,,"$751,555.00","$409,333.00","$342,222.00",
4.85%,3023170005,"$45,340,000.00",,,,,,,,,"$3,413,906.00","$1,217,168.00","$2,196,738.00",
4.81%,2038120001,"$3,960,000.00",,,,,,,,,"$434,518.00","$244,179.00","$190,339.00",
4.70%,4017050035,"$4,785,000.00",,,,,,,,,"$501,156.00","$276,034.00","$225,122.00",
4.63%,2031560027,"$11,500,000.00",,,,,,,,,"$1,088,416.00","$555,507.00","$532,909.00",
4.57%,3023070001,"$137,750,000.00",,,,,,,,,"$9,305,588.00","$3,008,156.00","$6,297,432.00",
4.57%,1015510045,"$4,500,000.00",,,,,,,,,"$308,000.00","$102,488.00","$205,512.00",
4.49%,1019940062,"$15,800,000.00",,,,,,,,,"$1,178,402.00","$469,081.00","$709,321.00",
4.47%,1021420078,"$5,000,000.00",,,,,,,,,"$387,741.00","$164,101.00","$223,640.00",
4.47%,1015220037,"$6,650,000.00",,,,,,,,,"$456,783.00","$159,848.00","$296,935.00",
4.46%,1020670036,"$5,100,000.00",,,,,,,,,"$502,657.00","$275,281.00","$227,376.00",
4.45%,1018770018,"$10,000,000.00",,,,,,,,,"$868,694.00","$424,067.00","$444,627.00",
4.42%,1014140013,"$17,500,000.00",,,,,,,,,"$1,002,403.00","$228,766.00","$773,637.00",
4.32%,3009340039,"$3,700,000.00",,,,,,,,,"$216,216.00","$56,289.00","$159,927.00",
