NEW YORK, NY 10014","PETER FINE (HEAD OFFICER), CHRISTINA PIMENTEL, BATHGATE AVENUE ASSOCIATES LP, WAVECREST MANAGEMENT GROUP",,"BATHGATE GROUND, LLC",1/23/20,"$4,463,827.00","$1,058,405.00","$588,764.00","$469,641.00",
-0.16%,4034890024,"$950,000.00",,,,,,,,,"$78,696.00","$80,251.00","-$1,555.00",
-0.20%,1004610039,"$8,710,372.00",,,,,,,,,"$25,898.00","$42,957.00","-$17,059.00",
-0.26%,1004050015,"$9,482,177.00",,,,,,,,,"$37,072.00","$61,757.00","-$24,685.00",
-0.27%,1004070054,"$2,800,000.00",,,,,,,,,"$222,461.00","$230,041.00","-$7,580.00",
-0.32%,1004610041,"$5,953,925.00",,,,,,,,,"$19,036.00","$37,798.00","-$18,762.00",
-0.41%,1008970044,"$6,000,000.00",,,,,,,,,"$305,000.00","$329,510.00","-$24,510.00",
-0.44%,1012380061,"$3,000,000.00",,,,,,,,,"$15,288.00","$28,376.00","-$13,088.00",
-0.46%,1004380051,"$9,041,146.00",,,,,,,,,"$40,857.00","$82,554.00","-$41,697.00",
-0.46%,3014070041,"$3,170,000.00",,,,,,,,,"$72,082.00","$86,760.00","-$14,678.00",
-0.48%,4034590002,"$1,200,000.00",,,,,,,,,"$91,000.00","$96,708.00","-$5,708.00",
-0.49%,1004610042,"$8,379,598.00",,,,,,,,,"$4,182.00","$45,201.00","-$41,019.00",
-0.51%,1012020019,"$5,595,000.00",,,,,,,,,"$24,000.00","$52,661.00","-$28,661.00",
-0.52%,3018030072,"$2,500,000.00",,,,,,,,,"$148,548.00","$161,563.00","-$13,015.00",
-0.55%,1004540059,"$19,475,951.00",,,,,,,,,"$9,087.00","$116,543.00","-$107,456.00",
-0.69%,1004610022,"$9,371,919.00",,,,,,,,,"$14,851.00","$79,482.00","-$64,631.00",
-0.69%,1004610045,"$8,159,083.00",,,,,,,,,"$13,247.00","$69,766.00","-$56,519.00",
-0.76%,1021570067,"$7,171,429.00",,,,,,,,,"$636,800.00","$691,032.00","-$54,232.00",
-0.86%,4034000002,"$1,220,000.00",,,,,,,,,"$47,564.00","$58,103.00","-$10,539.00",
-0.96%,2030750028,"$1,776,000.00",,,,,,,,,"$21,026.00","$38,132.00","-$17,106.00",
-1.14%,2024330059,"$1,750,000.00",,,,,,,,,"$1,296.00","$21,172.00","-$19,876.00",
-1.16%,1007450049,"$4,700,000.00",,,,,,,,,"$279,917.00","$334,432.00","-$54,515.00",
-1.19%,1013100038,"$4,850,000.00",,,,,,,,,"$33,314.00","$91,262.00","-$57,948.00",
-1.24%,3015400018,"$1,700,000.00",,,,,,,,,"$1,055.00","$22,091.00","-$21,036.00",
-1.26%,1012040054,"$3,100,000.00",,,,,,,,,"$8,175.00","$47,145.00","-$38,970.00",
-1.29%,1005550040,"$3,350,000.00",,,,,,,,,"$5,226.00","$48,426.00","-$43,200.00",
-1.52%,1010320101,"$2,900,000.00",,,,,,,,,"$19,598.00","$63,572.00","-$43,974.00",
-2.30%,1014300002,"$5,000,000.00",,,,,,,,,"$1,475,566.00","$1,590,649.00","-$115,083.00",
-2.74%,1004350011,"$8,500,000.00",,,,,,,,,"$371,827.00","$604,802.00","-$232,975.00",
-3.76%,2032120078,"$2,075,000.00",,,,,,,,,"$228,863.00","$306,842.00","-$77,979.00",
-6.43%,1020790029,"$4,378,788.00",,,,,,,,,"$426,953.00","$708,489.00","-$281,536.00",
